anio,municipio_id,municipio_nombre,unidades_de_servicio_nivel_inicial*,unidades_de_servicio_nivel_primario,unidades_de_servicio_nivel_secundario**,sector_de_gestión_estatal***,sector_de_gestión_privada****,matricula_sexo_femenino*****,matricula_sexo_masculino******,matricula_nivel_inicial,matricula_nivel_primario*******,matricula_nivel_secundario********
2020,06134,Cañuelas,28,38,27,92,20,11924,11564,3354,8826,6488
2021,06134,Cañuelas,28,38,27,95,20,12021,11495,3229,9034,6773
2022,06134,Cañuelas,29,38,27,96,19,12981,12094,3387,9237,7074
2023,06134,Cañuelas,30,38,27,98,19,12993,12269,3384,9117,7328
2011,06140,Capitán Sarmiento,10,12,5,35,3,2614,2361,790,1612,1212
2012,06140,Capitán Sarmiento,10,12,5,36,3,2775,2362,775,1572,1252
2013,06140,Capitán Sarmiento,10,12,5,36,3,2557,2429,771,1566,1289
2014,06140,Capitán Sarmiento,10,12,5,36,3,2651,2428,783,1551,1289
2015,06140,Capitán Sarmiento,10,12,5,36,3,2670,2453,779,1518,1305
2016,06140,Capitán Sarmiento,11,12,5,38,3,2703,2366,840,1503,1249
2017,06140,Capitán Sarmiento,11,12,5,38,3,2614,2369,834,1506,1237
2018,06140,Capitán Sarmiento,11,12,5,38,3,2881,2346,848,1521,1358
2019,06140,Capitán Sarmiento,11,12,5,37,3,2857,2353,895,1510,1352
2020,06140,Capitán Sarmiento,11,12,5,37,3,2952,2381,877,1517,1388
2021,06140,Capitán Sarmiento,11,12,5,35,3,2819,2314,814,1540,1416
2022,06140,Capitán Sarmiento,11,12,5,36,3,2793,2348,797,1546,1385
2023,06140,Capitán Sarmiento,11,12,5,37,3,2782,2376,731,1542,1381
2011,06147,Carlos Casares,19,23,11,75,2,4640,4117,1218,2388,1687
2012,06147,Carlos Casares,18,23,11,77,2,4674,4007,1164,2355,1753
2013,06147,Carlos Casares,18,23,11,78,2,5006,4372,1154,2316,1825
2014,06147,Carlos Casares,17,23,11,77,2,5193,4229,1131,2322,1858
2015,06147,Carlos Casares,17,23,11,75,2,4783,3984,1139,2329,1860
2016,06147,Carlos Casares,17,23,11,76,2,4760,4007,1137,2291,1790
2017,06147,Carlos Casares,17,23,11,72,2,4744,3870,1120,2196,1755
2018,06147,Carlos Casares,17,23,11,73,2,4709,3914,1144,2225,1830
2019,06147,Carlos Casares,17,23,11,72,2,4515,3713,1232,2213,1823
2020,06147,Carlos Casares,17,23,11,70,2,4411,3540,1250,2178,1864
2021,06147,Carlos Casares,18,23,11,75,2,4708,3847,1228,2242,1908
2022,06147,Carlos Casares,18,23,11,74,2,5047,3758,1209,2245,1869
2023,06147,Carlos Casares,19,23,11,74,2,5036,3844,1098,2260,1838
2011,06154,Carlos Tejedor,17,21,7,61,5,3195,2896,715,1244,985
2012,06154,Carlos Tejedor,17,19,7,59,5,3341,2912,717,1224,1000
2013,06154,Carlos Tejedor,17,19,7,61,6,3218,2877,758,1190,923
2014,06154,Carlos Tejedor,16,19,7,59,5,3363,2985,778,1174,936
2015,06154,Carlos Tejedor,16,19,7,58,5,3231,2993,762,1125,944
2016,06154,Carlos Tejedor,16,19,7,57,5,3284,2911,728,1085,942
2017,06154,Carlos Tejedor,16,19,7,57,5,3336,2964,713,1077,938
2018,06154,Carlos Tejedor,16,20,7,58,5,3299,2969,715,1102,952
2019,06154,Carlos Tejedor,16,20,7,58,5,3319,2942,729,1090,971
2020,06154,Carlos Tejedor,16,20,7,58,5,3451,2896,717,1097,977
2021,06154,Carlos Tejedor,16,19,7,56,6,3863,1997,678,1108,971
2022,06154,Carlos Tejedor,16,19,7,56,5,2990,2524,627,1102,941
2023,06154,Carlos Tejedor,17,19,7,57,5,2755,2339,582,1067,877
2011,06161,Carmen de Areco,15,19,6,51,1,2667,2616,901,1638,1133
2012,06161,Carmen de Areco,16,19,6,53,1,2790,2680,898,1662,1221
2013,06161,Carmen de Areco,16,19,6,54,1,2795,2848,902,1641,1249
2014,06161,Carmen de Areco,16,19,6,54,1,2831,2901,967,1661,1239
2015,06161,Carmen de Areco,16,19,6,54,1,2725,2846,961,1611,1276
